skills,years_experience,education,has_certifications,job_role
"html, css, angular, typescript, ui frameworks, browser compatibility, security",1.1,High School,False,Frontend Developer
"html, browser compatibility, jest, redux, responsive design, data mining, data structures, product strategy",0.4,PhD,False,Frontend Developer
"caching, c#, python, authentication, php, presentation skills, shell scripting, lan",8.8,High School,True,Backend Developer
"jenkins, infrastructure as code, aws, microservices, data mining",5.0,PhD,True,DevOps Engineer
"tensorflow, big data, a/b testing, r, hypothesis testing, pandas, cryptography, roadmapping, wan",4.3,Master,False,UX Designer
"hypothesis testing, pandas, machine learning, tensorflow, sql, r, python, sql, power bi, dashboards",3.8,PhD,False,Data Scientist
"hypothesis testing, data visualization, a/b testing, python, numpy, scikit-learn, security, troubleshooting",3.0,Master,False,Data Scientist
"penetration testing, vulnerability assessment, risk management, cryptography, siem, threat intelligence, r, css, machine learning",5.3,Bachelor,True,Cybersecurity Analyst
"git, agile, debugging, object-oriented programming, switching, penetration testing",6.8,High School,True,Software Engineer
"webpack, jest, sass, javascript, typescript, docker, api development, lan, dns",8.1,Bachelor,True,Frontend Developer
"cisco, network security, vpn, java, analytics, presentation skills",8.8,Bachelor,True,Network Engineer
"microservices, api development, git, object-oriented programming, java, javascript, statistics, lan",3.0,Bachelor,True,Software Engineer
"big data, scikit-learn, sql, sql, analytics",7.9,PhD,False,Data Scientist
"user stories, competitive analysis, analytics, project management, communication, roadmapping, agile, networking, siem, statistics, python",4.3,High School,True,Product Manager
"networking, linux, python, azure, presentation skills, wireframing, security architecture, user flows",0.2,PhD,True,DevOps Engineer
"pandas, big data, r, hypothesis testing, scikit-learn, deep learning, monitoring",9.8,PhD,False,Data Scientist
"competitive analysis, product strategy, roadmapping, project management, adobe xd, algorithms",0.6,PhD,False,Product Manager
"lan, dhcp, network security, api development, roadmapping, jenkins, security architecture",13.6,PhD,True,Product Manager
"browser compatibility, html, sass, redux, css, angular, data mining, project management, visual design",6.0,PhD,True,Frontend Developer
"adobe xd, user flows, sketch, prototyping, visual design, vulnerability assessment",0.1,PhD,False,UX Designer
"cryptography, security auditing, security, firewall, siem, security architecture, security compliance, dashboards, statistics",0.1,Master,True,Cybersecurity Analyst
"java, cloud computing, databases, data mining",1.8,Bachelor,True,Software Engineer
"microservices, c#, ruby, databases, security, firewalls, reporting",10.8,High School,True,Backend Developer
"api development, data structures, python, project management, kubernetes, roadmapping",3.2,Master,True,Software Engineer
"javascript, c++, python, api development, testing, sql",2.6,High School,True,Software Engineer
"java, testing, debugging, responsive design",11.5,High School,False,Software Engineer
"python, monitoring, docker, ci/cd, firewall, network security, databases, agile",9.4,PhD,True,DevOps Engineer
"sketch, user flows, wireframing, accessibility, design thinking, adobe xd, agile, java, data modeling, security auditing",1.1,High School,True,UX Designer
"linux, kubernetes, aws, monitoring, python, sql, graphql",6.3,PhD,True,DevOps Engineer
"deep learning, a/b testing, big data, scikit-learn, typescript, project management, product strategy",13.7,High School,False,Data Scientist
"penetration testing, ethical hacking, security compliance, databases, security",1.1,High School,True,Cybersecurity Analyst
"user research, information architecture, figma, accessibility, design thinking, ci/cd, lan",5.2,High School,True,Product Manager
